Year, TreeDensity, Heigh, DBH, BA, MassW, MassW_ag, MassG, Litter, SOM, GPP, NPP , NEE, LAImax_W, LAImax_G, LAImean_W, LAImean_G, ccon, RO, Biome, ALD, ALD_DOY, Min_20yrMaxsnow, Max_snow
   1,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.0,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 371.2, 12, 20, 17,      0.00,      0.00
   2,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.2,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 693.7, 12,  0,  1,      0.00,    469.84
   3,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.2,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 767.9, 12,  0,  1,      0.00,    871.40
   4,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.2,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 782.0, 12,  0,  1,      0.00,   1315.98
   5,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.1,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 835.6, 12,  0,  1,      0.00,   1762.78
   6,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.1,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 882.3, 12,  0,  1,      0.00,   2232.72
   7,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   0.2,   0.0,   0.1,  0.0,  0.0,  -0.0, -0.0,  0.0,  0.0,  0.0,  0.0,  0.000, 767.1, 12,  0,  1,      0.00,   2652.10
   8,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   1.5,   1.0,   0.2,  0.0,  2.0,   1.4,  1.4,  0.0,  1.4,  0.0,  0.3,  0.200, 679.4, 12, 20,365,      0.00,   3099.36
   9,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   5.6,   4.6,   1.8,  0.1,  8.7,   5.8,  5.7,  0.0,  2.8,  0.0,  2.0,  0.238, 830.6, 11, 20,365,      0.00,   3602.30
  10,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,   8.6,   7.5,   5.0,  0.2, 10.5,   6.6,  6.4,  0.0,  3.4,  0.0,  2.9,  0.437,1014.6, 11, 20,365,      0.00,   4102.72
  11,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  10.0,   8.8,   8.9,  0.4,  9.8,   6.1,  5.5,  0.0,  3.4,  0.0,  2.9,  0.344, 908.0, 11, 20,365,      0.00,   4431.11
  12,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  11.0,   9.8,  12.9,  0.8, 10.3,   6.3,  5.4,  0.0,  3.4,  0.0,  2.9,  0.229, 937.1, 11, 20,365,      0.00,   4783.70
  13,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  11.4,  10.3,  16.9,  1.3, 10.1,   6.2,  4.9,  0.0,  3.4,  0.0,  2.9,  0.323, 937.9, 11, 20,365,      0.00,   5207.63
  14,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  11.9,  10.7,  20.6,  1.9, 10.6,   6.4,  4.8,  0.0,  3.4,  0.0,  3.0,  0.210, 955.6, 11, 20,365,      0.00,   5566.87
  15,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.0,  10.9,  24.1,  2.6, 10.4,   6.2,  4.3,  0.0,  3.4,  0.0,  3.0,  0.322,1031.5, 11, 20,365,      0.00,   5958.55
  16,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  11.8,  10.7,  27.1,  3.5,  9.8,   5.9,  3.7,  0.0,  3.3,  0.0,  2.9,  0.390,1028.1, 11, 20,365,      0.00,   6285.63
  17,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  29.9,  4.4, 10.7,   6.5,  4.1,  0.0,  3.4,  0.0,  3.0,  0.351, 976.5, 11, 20,365,      0.00,   6543.32
  18,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.2,  32.6,  5.3, 10.7,   6.5,  3.8,  0.0,  3.4,  0.0,  3.0,  0.300, 865.5, 11, 20,365,      0.00,   6871.97
  19,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.2,  35.0,  6.4, 10.6,   6.4,  3.5,  0.0,  3.4,  0.0,  3.0,  0.227,1023.6, 11, 20,365,      0.00,   7298.57
  20,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  37.2,  7.4, 10.0,   6.1,  3.0,  0.0,  3.4,  0.0,  3.0,  0.278, 893.7, 11, 20,365,      0.00,   7713.47
  21,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  39.0,  8.5, 10.0,   6.0,  2.8,  0.0,  3.4,  0.0,  2.9,  0.351, 895.8, 11, 20,365,    469.84,   7982.35
  22,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  40.7,  9.6, 10.2,   6.2,  2.8,  0.0,  3.4,  0.0,  3.0,  0.352, 864.1, 11, 20,365,    871.40,   8380.07
  23,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  42.2, 10.8, 10.2,   6.2,  2.7,  0.0,  3.4,  0.0,  3.0,  0.232, 901.8, 11, 20,365,   1315.98,   8787.02
  24,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.2,  43.7, 12.0, 10.9,   6.6,  2.9,  0.0,  3.4,  0.0,  3.0,  0.321, 975.6, 11, 20,365,   1762.78,   9169.87
  25,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  45.1, 13.1, 11.3,   6.8,  3.1,  0.0,  3.4,  0.0,  3.0,  0.360,1043.7, 11, 20,365,   2232.72,   9567.55
  26,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  46.6, 14.3, 10.7,   6.5,  2.6,  0.0,  3.4,  0.0,  3.0,  0.437, 856.6, 11, 20,365,   2652.10,   9866.87
  27,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.7,  11.5,  47.9, 15.5, 10.6,   6.4,  2.4,  0.0,  3.5,  0.0,  3.0,  0.300, 823.0, 11, 20,365,   3099.36,  10239.97
  28,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.6,  11.4,  49.1, 16.7, 10.5,   6.4,  2.3,  0.0,  3.4,  0.0,  3.0,  0.246, 842.2, 11, 20,365,   3602.30,  10691.20
  29,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.4,  50.1, 18.0, 10.6,   6.3,  2.1,  0.0,  3.5,  0.0,  3.0,  0.438,1014.9, 11, 20,365,   4102.72,  11155.49
  30,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  50.9, 19.2,  9.8,   5.9,  1.6,  0.0,  3.4,  0.0,  2.9,  0.344, 906.7, 11, 20,365,   4431.11,  11488.12
  31,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  51.5, 20.4, 10.3,   6.2,  1.9,  0.0,  3.4,  0.0,  2.9,  0.229, 936.1, 11, 20,365,   4783.70,  11844.68
  32,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  52.1, 21.5, 10.2,   6.1,  1.7,  0.0,  3.4,  0.0,  2.9,  0.323, 936.7, 11, 20,365,   5207.63,  12273.47
  33,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  52.7, 22.7, 10.6,   6.4,  1.9,  0.0,  3.4,  0.0,  3.0,  0.211, 954.5, 11, 20,365,   5566.87,  12636.94
  34,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  53.3, 23.9, 10.4,   6.2,  1.7,  0.0,  3.4,  0.0,  3.0,  0.322,1032.1, 11, 20,365,   5958.55,  13032.13
  35,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  11.9,  10.8,  53.8, 25.0,  9.8,   5.9,  1.3,  0.0,  3.3,  0.0,  2.9,  0.391,1028.8, 11, 20,365,   6285.63,  13361.69
  36,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  54.3, 26.1, 10.7,   6.5,  1.9,  0.0,  3.4,  0.0,  3.0,  0.351, 975.9, 11, 20,365,   6543.32,  13620.77
  37,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.2,  54.9, 27.2, 10.7,   6.5,  1.9,  0.0,  3.4,  0.0,  3.0,  0.300, 863.9, 11, 20,365,   6871.97,  13951.48
  38,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  55.5, 28.3, 10.6,   6.4,  1.7,  0.0,  3.4,  0.0,  3.0,  0.227,1023.7, 11, 20,365,   7298.57,  14381.44
  39,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  56.0, 29.4, 10.0,   6.1,  1.4,  0.0,  3.4,  0.0,  3.0,  0.278, 893.0, 11, 20,365,   7713.47,  14799.38
