 Yr doy   snow   pool_w1   pool_w2  stat_w1   stat_w2
   1   1     61.65     27.90     20.17      0.46      0.24
   1   2     68.21     27.90     20.18      0.46      0.24
   1   3     74.74     27.90     20.18      0.46      0.24
   1   4     81.45     27.89     20.18      0.46      0.24
   1   5     87.85     27.89     20.19      0.46      0.24
   1   6     94.78     27.89     20.19      0.46      0.24
   1   7    101.59     27.89     20.19      0.46      0.24
   1   8    108.34     27.89     20.20      0.46      0.24
   1   9    114.76     27.89     20.20      0.46      0.24
   1  10    121.15     27.89     20.20      0.46      0.24
   1  11    127.25     27.89     20.21      0.46      0.24
   1  12    133.19     27.89     20.21      0.46      0.24
   1  13    139.12     27.88     20.21      0.46      0.24
   1  14    145.17     27.88     20.22      0.46      0.24
   1  15    151.51     27.88     20.22      0.46      0.24
   1  16    157.92     27.88     20.23      0.46      0.24
   1  17    164.17     27.87     20.23      0.46      0.24
   1  18    170.01     27.87     20.24      0.46      0.24
   1  19    175.88     27.86     20.25      0.46      0.24
   1  20    181.70     27.85     20.25      0.46      0.24
   1  21    188.17     27.85     20.26      0.46      0.24
   1  22    194.55     27.85     20.26      0.46      0.24
   1  23    200.99     27.84     20.27      0.46      0.24
   1  24    207.26     27.84     20.27      0.46      0.24
   1  25    213.18     27.84     20.28      0.46      0.24
   1  26    219.02     27.84     20.29      0.46      0.24
   1  27    224.69     27.84     20.29      0.46      0.24
   1  28    230.19     27.83     20.30      0.46      0.24
   1  29    235.75     27.83     20.30      0.46      0.24
   1  30    241.40     27.83     20.31      0.46      0.24
   1  31    247.01     27.83     20.31      0.46      0.24
   1  32    252.44     27.82     20.32      0.46      0.24
   1  33    258.29     27.82     20.33      0.46      0.24
   1  34    264.06     27.82     20.33      0.46      0.24
   1  35    269.68     27.82     20.34      0.46      0.24
   1  36    275.13     27.82     20.34      0.46      0.24
   1  37    280.52     27.81     20.35      0.46      0.24
   1  38    286.09     27.81     20.35      0.46      0.25
   1  39    291.46     27.81     20.36      0.46      0.25
   1  40    296.54     27.81     20.37      0.46      0.25
   1  41    301.72     27.80     20.37      0.46      0.25
   1  42    306.51     27.80     20.38      0.46      0.25
   1  43    311.18     27.80     20.38      0.46      0.25
   1  44    316.34     27.80     20.39      0.46      0.25
   1  45    321.43     27.80     20.39      0.46      0.25
   1  46    326.45     27.79     20.40      0.46      0.25
   1  47    331.60     27.79     20.40      0.46      0.25
   1  48    336.39     27.79     20.41      0.46      0.25
   1  49    341.26     27.79     20.41      0.46      0.25
   1  50    345.98     27.79     20.42      0.46      0.25
   1  51    350.57     27.78     20.42      0.46      0.25
   1  52    354.94     27.78     20.43      0.46      0.25
   1  53    359.17     27.78     20.43      0.46      0.25
   1  54    363.52     27.78     20.44      0.46      0.25
   1  55    367.90     27.78     20.44      0.46      0.25
   1  56    372.38     27.77     20.45      0.46      0.25
   1  57    376.80     27.77     20.45      0.46      0.25
   1  58    380.83     27.77     20.46      0.46      0.25
   1  59    385.09     27.77     20.46      0.46      0.25
   1  60    389.68     27.77     20.47      0.46      0.25
   1  61    393.99     27.76     20.47      0.46      0.25
   1  62    398.43     27.76     20.48      0.46      0.25
   1  63    403.12     27.76     20.48      0.46      0.25
   1  64    407.61     27.76     20.49      0.46      0.25
   1  65    411.73     27.76     20.49      0.46      0.25
   1  66    415.45     27.76     20.50      0.46      0.25
   1  67    418.91     27.75     20.50      0.46      0.25
   1  68    422.55     27.75     20.51      0.46      0.25
   1  69    426.39     27.75     20.51      0.46      0.25
   1  70    430.57     27.75     20.52      0.46      0.25
   1  71    434.62     27.75     20.52      0.46      0.25
   1  72    438.80     27.75     20.53      0.46      0.25
   1  73    443.02     27.74     20.53      0.46      0.25
   1  74    446.94     27.74     20.54      0.46      0.25
   1  75    450.60     27.74     20.54      0.46      0.25
   1  76    454.26     27.74     20.55      0.46      0.25
   1  77    457.95     27.74     20.55      0.46      0.25
   1  78    461.86     27.74     20.56      0.46      0.25
   1  79    465.65     27.73     20.56      0.46      0.25
   1  80    469.17     27.73     20.56      0.46      0.25
   1  81    472.59     27.73     20.57      0.46      0.25
   1  82    476.11     27.73     20.57      0.46      0.25
   1  83    479.81     27.73     20.57      0.46      0.25
   1  84    483.72     27.73     20.58      0.46      0.25
   1  85    487.39     27.72     20.58      0.46      0.25
   1  86    491.03     27.72     20.59      0.46      0.25
   1  87    494.95     27.72     20.59      0.46      0.25
   1  88    498.53     27.72     20.59      0.46      0.25
   1  89    501.76     27.72     20.60      0.46      0.25
   1  90    504.46     27.72     20.60      0.46      0.25
   1  91    507.11     27.71     20.60      0.46      0.25
   1  92    509.94     27.71     20.61      0.46      0.25
   1  93    513.04     27.71     20.61      0.46      0.25
   1  94    516.21     27.71     20.61      0.46      0.25
   1  95    519.47     27.71     20.62      0.46      0.25
   1  96    522.73     27.71     20.62      0.46      0.25
   1  97    526.02     27.71     20.62      0.46      0.25
   1  98    529.17     27.70     20.63      0.46      0.25
   1  99    532.21     27.70     20.63      0.46      0.25
   1 100    535.03     27.70     20.63      0.46      0.25
   1 101    537.35     27.70     20.64      0.46      0.25
   1 102    539.68     27.70     20.64      0.46      0.25
   1 103    542.22     27.70     20.64      0.46      0.25
   1 104    544.73     27.70     20.64      0.46      0.25
   1 105    547.02     27.69     20.65      0.46      0.25
   1 106    549.15     27.69     20.65      0.46      0.25
   1 107    551.17     27.69     20.65      0.46      0.25
   1 108    553.27     27.69     20.66      0.46      0.25
   1 109    555.62     27.69     20.66      0.46      0.25
   1 110    558.10     27.69     20.66      0.46      0.25
   1 111    560.64     27.69     20.67      0.46      0.25
   1 112    563.24     27.69     20.67      0.46      0.25
   1 113    565.81     27.68     20.67      0.46      0.25
   1 114    568.44     27.68     20.68      0.46      0.25
   1 115    571.09     27.68     20.68      0.46      0.25
   1 116    573.54     27.68     20.68      0.46      0.25
   1 117    575.90     27.68     20.69      0.46      0.25
   1 118    578.31     27.68     20.69      0.46      0.25
   1 119    580.85     27.68     20.69      0.46      0.25
   1 120    583.66     27.68     20.70      0.46      0.25
   1 121    586.58     27.67     20.70      0.46      0.26
   1 122    589.30     27.67     20.70      0.46      0.26
   1 123    591.80     27.67     20.71      0.46      0.26
   1 124    594.12     27.67     20.71      0.46      0.26
   1 125    596.32     27.67     20.71      0.46      0.26
   1 126    598.49     27.67     20.72      0.46      0.26
   1 127    600.53     27.67     20.72      0.46      0.26
   1 128    602.48     27.67     20.72      0.46      0.26
   1 129    604.43     27.66     20.73      0.46      0.26
